event_duration;guest_count;average_age;gender_ratio_percent;event_type;quartal;beer;white_wine;red_wine;sparkling_wine;soft_drinks;water;longdrinks
3;100;50;70;4;1;16;4;3;0;0;16;120
3;40;50;70;2;2;16;6;4;0;16;16;0
5;80;50;60;2;4;16;9;7;0;16;16;0
6;80;40;60;4;2;56;18;3;12;37;18;90
10;85;40;50;6;3;32;7;1;5;24;32;350
8;80;50;50;6;2;16;5;0;11;37;16;150
5;60;60;60;6;1;30;9;3;12;22;36;80
5;50;40;60;4;4;9;3;2;5;1;10;24
7;50;40;50;5;4;23;4;1;0;0;0;145
5;50;40;60;4;2;13;4;1;3;2;9;40
8;40;35;50;3;2;13;2;0;6;4;9;208
6;50;40;70;4;3;16;0;0;0;22;14;70
3;100;40;50;4;4;24;5;1;9;16;16;100
5;100;30;50;5;4;32;9;1;9;36;0;286
4;40;40;40;5;4;9;5;1;2;0;16;90
5;50;35;60;5;3;16;5;2;0;24;16;100
6;40;35;40;5;3;16;0;0;0;16;0;40
4;110;45;70;4;2;36;9;1;8;44;13;55
7;64;50;50;6;2;16;20;6;6;0;59;62
6;50;40;50;6;2;12;2;0;2;16;8;140
7;70;45;80;4;3;79;20;2;6;31;27;100
8;70;50;50;6;3;24;8;1;8;32;27;223
6;36;40;50;6;2;15;-14;0;4;10;26;41
6;20;40;45;6;2;4;0;0;0;9;14;17
7;55;42;80;5;2;20;10;0;0;10;28;215
